epoch,acc,loss,val_acc,val_loss
0,0.9210416666666666,0.2749641751094411,0.9711666666666666,0.12385197554190139
1,0.9664791666666667,0.1385020330566913,0.9749166666666667,0.11782267544499093
2,0.9696875,0.12634977141472822,0.9740833333333333,0.11658056806679148
3,0.9737083333333333,0.11218323046155274,0.9663333333333334,0.17060733694350969
4,0.9697291666666666,0.13668390032695607,0.9763333333333334,0.13483188855313802
5,0.9685208333333334,0.1422636812960991,0.9718333333333333,0.16483296170066872
6,0.9714375,0.12993197900431308,0.9758333333333333,0.1274780893114988
7,0.9755208333333333,0.11488312909454544,0.9781666666666666,0.13263161686079916
8,0.9733541666666666,0.13092028853101068,0.9760833333333333,0.12077304205054937
9,0.9743541666666666,0.128023944784438,0.9696666666666667,0.20531092411540416
